timestamp,merilno_mesto,datum_od,datum_do,co,o3,no2,pm10,pm2.5,benzen,so2
2022-11-10 15:27:28.978389,LJ Bežigrad,2022-11-10 14:00,2022-11-10 15:00,0.2,23,37,7,5,,
2022-11-10 15:27:28.978389,LJ Celovška,2022-11-10 14:00,2022-11-10 15:00,,,28,8,5,,
2022-11-10 15:27:28.978389,LJ Vič,2022-11-10 14:00,2022-11-10 15:00,,,,8,6,,
2022-11-10 15:27:28.978389,Kranj,2022-11-10 14:00,2022-11-10 15:00,,,,10,8,,
2022-11-10 15:27:28.978389,MB Titova,2022-11-10 14:00,2022-11-10 15:00,,,,27,22,,
2022-11-10 15:27:28.978389,MB Vrbanski,2022-11-10 14:00,2022-11-10 15:00,,<1,22,28,23,,
2022-11-10 15:27:28.978389,CE bolnica,2022-11-10 14:00,2022-11-10 15:00,,31,15,5,4,,3
2022-11-10 15:27:28.978389,CE Ljubljanska,2022-11-10 14:00,2022-11-10 15:00,,,,7,5,,
2022-11-10 15:27:28.978389,Ptuj,2022-11-10 14:00,2022-11-10 15:00,,,,32,23,,
2022-11-10 15:27:28.978389,MS Rakičan,2022-11-10 14:00,2022-11-10 15:00,,2,14,15,12,,
2022-11-10 15:27:28.978389,MS Cankarjeva,2022-11-10 14:00,2022-11-10 15:00,,,,16,13,,
2022-11-10 15:27:28.978389,Solkan,2022-11-10 14:00,2022-11-10 15:00,,,,14,8,,
2022-11-10 15:27:28.978389,NG Grčna,2022-11-10 14:00,2022-11-10 15:00,,7,46,11,7,,
2022-11-10 15:27:28.978389,Otlica,2022-11-10 14:00,2022-11-10 15:00,,79,,,,,
2022-11-10 15:27:28.978389,Koper,2022-11-10 14:00,2022-11-10 15:00,,56,7,5,3,,
2022-11-10 15:27:28.978389,Trbovlje,2022-11-10 14:00,2022-11-10 15:00,,,,9,7,,
2022-11-10 15:27:28.978389,Zagorje,2022-11-10 14:00,2022-11-10 15:00,,17,30,11,8,,3
2022-11-10 15:27:28.978389,Hrastnik,2022-11-10 14:00,2022-11-10 15:00,,,,10,6,,
2022-11-10 15:27:28.978389,Novo mesto,2022-11-10 14:00,2022-11-10 15:00,,28,11,16,14,,
2022-11-10 15:27:28.978389,Iskrba,2022-11-10 14:00,2022-11-10 15:00,,54,<1,4,3,,1
2022-11-10 15:27:28.978389,Krvavec,2022-11-10 14:00,2022-11-10 15:00,,84,,,,,
